"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9122.943,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9682.407,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10343.851,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10524.248,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10803.948,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11688.437,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",2546.722,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",2764.729,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",2826.37,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",2925.221,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",3032.514,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",2997.928,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9431.662,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9628.766,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9966.511,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11486.577,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11874.896,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11028.059,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",11814.53,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",11726.424,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",11742.52,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11881.47,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",12175.709,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",12424.258,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
